debugBuffer1[641], 0x0000002B,
debugBuffer1[642], 0x0000002C,
debugBuffer1[643], 0x0000002B,
debugBuffer1[644], 0x0000002B,
debugBuffer1[645], 0x0000002B,
debugBuffer1[646], 0x0000002C,
debugBuffer1[647], 0x0000002B,
debugBuffer1[648], 0x0000002B,
debugBuffer1[649], 0x0000002B,
debugBuffer1[650], 0x0000002B,
debugBuffer1[651], 0x0000002B,
debugBuffer1[652], 0x0000002C,
debugBuffer1[653], 0x00000029,
debugBuffer1[654], 0x0000002C,
debugBuffer1[655], 0x00000029,
debugBuffer1[656], 0x0000002A,
debugBuffer1[657], 0x0000002B,
debugBuffer1[658], 0x00000029,
debugBuffer1[659], 0x0000002A,
debugBuffer1[660], 0x00000028,
debugBuffer1[661], 0x00000028,
debugBuffer1[662], 0x00000026,
debugBuffer1[663], 0x00000021,
debugBuffer1[664], 0x0000002A,
debugBuffer1[665], 0x00000039,
debugBuffer1[666], 0x0000003B,
debugBuffer1[667], 0x00000034,
debugBuffer1[668], 0x00000033,
debugBuffer1[669], 0x00000031,
debugBuffer1[670], 0x00000030,
debugBuffer1[671], 0x00000030,
debugBuffer1[672], 0x0000002F,
debugBuffer1[673], 0x0000002F,
debugBuffer1[674], 0x0000002F,
debugBuffer1[675], 0x0000002E,
debugBuffer1[676], 0x0000002F,
debugBuffer1[677], 0x0000002E,
debugBuffer1[678], 0x0000002D,
debugBuffer1[679], 0x0000002E,
debugBuffer1[680], 0x0000002E,
debugBuffer1[681], 0x0000002E,
debugBuffer1[682], 0x0000002D,
debugBuffer1[683], 0x0000002E,
debugBuffer1[684], 0x0000002E,
debugBuffer1[685], 0x0000002E,
debugBuffer1[686], 0x0000002D,
debugBuffer1[687], 0x0000002E,
debugBuffer1[688], 0x0000002E,
debugBuffer1[689], 0x0000002D,
debugBuffer1[690], 0x0000002E,
debugBuffer1[691], 0x0000002E,
debugBuffer1[692], 0x0000002E,
debugBuffer1[693], 0x0000002D,
debugBuffer1[694], 0x0000002E,
debugBuffer1[695], 0x0000002E,
debugBuffer1[696], 0x0000002E,
debugBuffer1[697], 0x0000002E,
debugBuffer1[698], 0x0000002E,
debugBuffer1[699], 0x0000002D,
debugBuffer1[700], 0x0000002D,
debugBuffer1[701], 0x0000002E,
debugBuffer1[702], 0x0000002E,
debugBuffer1[703], 0x0000002D,
debugBuffer1[704], 0x0000002E,
debugBuffer1[705], 0x0000002D,
debugBuffer1[706], 0x0000002D,
debugBuffer1[707], 0x0000002E,
debugBuffer1[708], 0x0000002D,
debugBuffer1[709], 0x0000002D,
debugBuffer1[710], 0x0000002D,
debugBuffer1[711], 0x0000002E,
debugBuffer1[712], 0x0000002D,
debugBuffer1[713], 0x0000002E,
debugBuffer1[714], 0x0000002E,
debugBuffer1[715], 0x0000002E,
debugBuffer1[716], 0x0000002E,
debugBuffer1[717], 0x0000002F,
debugBuffer1[718], 0x0000002E,
debugBuffer1[719], 0x0000002E,
debugBuffer1[720], 0x0000002E,
debugBuffer1[721], 0x0000002E,
debugBuffer1[722], 0x0000002D,
debugBuffer1[723], 0x0000002E,
debugBuffer1[724], 0x0000002D,
debugBuffer1[725], 0x0000002E,
debugBuffer1[726], 0x0000002F,
debugBuffer1[727], 0x0000002E,
debugBuffer1[728], 0x0000002E,
debugBuffer1[729], 0x0000002F,
debugBuffer1[730], 0x0000002E,
debugBuffer1[731], 0x0000002E,
debugBuffer1[732], 0x0000002F,
debugBuffer1[733], 0x0000002E,
debugBuffer1[734], 0x0000002E,
debugBuffer1[735], 0x0000002E,
debugBuffer1[736], 0x0000002E,
debugBuffer1[737], 0x0000002E,
debugBuffer1[738], 0x0000002E,
debugBuffer1[739], 0x0000002E,
debugBuffer1[740], 0x0000002E,
debugBuffer1[741], 0x0000002D,
debugBuffer1[742], 0x0000002F,
debugBuffer1[743], 0x0000002E,
debugBuffer1[744], 0x0000002E,
debugBuffer1[745], 0x0000002E,
debugBuffer1[746], 0x0000002E,
debugBuffer1[747], 0x0000002F,
